LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE,CITY
thankot,10500000,1026.75,5,west,2.5,7.0,4.0,5.0,kathmandu
hepali height,34000000,1403.225,12,south,2.5,5.0,2.0,2.0,kathmandu
maharajgunj,30000000,1026.75,20,west,2.5,4.0,5.0,7.0,kathmandu
kapan,,1711.25,13,south,2.5,7.0,4.0,3.0,kathmandu
bhaisepati,55000000,1437.45,16,east-south,2.5,3.0,4.0,5.0,lalitpur
bhaisepati,35000000,1129.425,22,west,2.5,5.0,4.0,10.0,lalitpur
budhanilkantha,19000000,1095.2,13,east-south,2.0,4.0,5.0,5.0,kathmandu
setipakha,31000000,1369.0,15,south,2.5,4.0,5.0,5.0,lalitpur
bhaisepati,78000000,2395.75,13,north,2.5,5.0,5.0,9.0,lalitpur
naxal,135000000,5818.25,16,south,2.5,5.0,5.0,21.0,kathmandu
sukedhara,40000000,1779.7,14,west,2.5,,,13.0,kathmandu
deuwa chowk,49500000,2738.0,13,east,2.5,8.0,5.0,4.0,kathmandu
basundhara,28500000,1060.9750000000001,10,west,2.5,7.0,4.0,2.0,kathmandu
budhanilkantha,61000000,2053.5,15,east-north,2.5,6.0,5.0,8.0,kathmandu
imadol,42500000,1129.425,20,south,2.5,5.0,,17.0,lalitpur
sanagaun,19000000,1369.0,16,west,2.5,6.0,4.0,13.0,lalitpur
tikathali,19500000,752.95,13,south,2.5,5.0,5.0,11.0,lalitpur
bafal,47000000,2395.75,14,west,2.5,6.0,3.0,9.0,kathmandu
khumaltar,40000000,1369.0,26,east,2.5,4.0,5.0,11.0,lalitpur
lainchaur,55000000,2121.9500000000003,15,south,2.5,5.0,3.0,6.0,kathmandu
manabahadur marga,31000000,1369.0,13,east,2.5,7.0,5.0,9.0,kathmandu
naxal,55000000,1369.0,13,west,2.5,3.0,3.0,21.0,kathmandu
paiyuntar,19000000,1026.75,20,west,3.0,5.0,5.0,4.0,kathmandu
kapan,32000000,1369.0,13,east-south,2.5,5.0,4.0,3.0,kathmandu
kapan,36000000,2395.75,13,south,2.5,6.0,4.0,13.0,kathmandu
imadol,26000000,1026.75,13,east,2.5,3.0,3.0,5.0,lalitpur
bhaisepati,35000000,1711.25,10,east,3.5,8.0,4.0,23.0,lalitpur
hattigaunda,36500000,2121.9500000000003,13,east-north,3.0,4.0,3.0,11.0,kathmandu
 swoyambhu,33500000,1369.0,16,north,2.0,4.0,5.0,8.0,kathmandu
chabahil,32000000,1437.45,20,west,3.0,8.0,6.0,5.0,kathmandu
kapan,24000000,1369.0,15,south,1.0,2.0,1.0,7.0,kathmandu
imadol,22000000,1026.75,13,west,2.5,4.0,3.0,4.0,lalitpur
maitidevi,100000000,4791.5,13,south,3.5,8.0,6.0,23.0,kathmandu
bhaisepati,28000000,1095.2,24,south,2.5,4.0,4.0,9.0,lalitpur
bhadrabas,12500000,1026.75,20,west,1.0,2.0,1.0,23.0,kathmandu
dharmasthali,13000000,1437.45,13,east-north,1.0,2.0,1.0,5.0,kathmandu
balkhu,42500000,2053.5,15,south-west,3.0,8.0,3.0,3.0,kathmandu
golfutar,28000000,1369.0,18,east,2.5,6.0,,13.0,kathmandu
makalbari,31000000,2738.0,13,east-north,1.0,2.0,1.0,16.0,kathmandu
