LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY AGE
"Imadol, Lalitpur",29000000,1369.0,12,west,3.0,5.0,4.0,5.0
"Satdobato, Lalitpur",47500000,1026.75,10,west,4.5,5.0,6.0,5.0
"Imadol, Lalitpur",19900000,787.175,10,west,2.5,4.0,4.0,21.0
"Bhaisepati, Lalitpur",40000000,2395.75,12,north-west,2.5,4.0,3.0,22.0
"Bhaisepati, Lalitpur",33000000,1095.2,13,north-west,2.5,4.0,3.0,7.0
"Budhanilkantha, Kathmandu",40000000,1471.675,14,east-north,2.5,5.0,4.0,16.0
"Gyaneshwor, Kathmandu",45000000,752.95,10,west,5.5,13.0,5.0,15.0
"Bhaisepati, Lalitpur",30000000,1711.25,12,east,3.0,5.0,5.0,6.0
"Imadol, Lalitpur",49900000,1779.7,13,east-north,3.0,6.0,5.0,2.0
"Kharibot, Kathmandu",24500000,1026.75,16,south,2.5,4.0,2.0,11.0
"Bafal, Kathmandu",25000000,1369.0,13,east-south,4.0,4.0,5.0,3.0
"Khumaltar, Lalitpur",42500000,1369.0,20,east-south,2.5,4.0,4.0,3.0
"Bhaisepati, Lalitpur",65000000,2121.9500000000003,12,east-south,2.5,4.0,5.0,4.0
"Bhaisepati, Lalitpur",36000000,1437.45,13,south-west,2.5,4.0,5.0,4.0
"Khumaltar, Lalitpur",58000000,1711.25,14,north-west,3.5,6.0,6.0,3.0
"Bhaisepati, Lalitpur",25000000,1095.2,12,east-south,3.5,5.0,7.0,3.0
"Bhaisepati, Lalitpur",48000000,1779.7,16,east-south,3.0,4.0,4.0,4.0
"Tahachal, Kathmandu",66500000,1403.225,20,north,3.0,4.0,5.0,4.0
"Dhapasi, Kathmandu",133000000,3285.6,14,east-north,2.5,5.0,5.0,4.0
"Thecho, Lalitpur",85000000,2395.75,12,east,3.5,5.0,7.0,3.0
"Bhaisepati, Lalitpur",55000000,1711.25,12,east-north,2.5,4.0,5.0,3.0
"Bhaisepati, Lalitpur",47500000,1060.9750000000001,20,south,2.5,4.0,4.0,6.0
"Imadol, Lalitpur",29500000,1095.2,13,south,3.0,5.0,4.0,6.0
"Sanepa, Lalitpur",63500000,1711.25,10,north-west,2.5,5.0,3.0,3.0
"Bhaisepati, Lalitpur",85000000,2395.75,13,west,2.5,5.0,6.0,6.0
"Maharajgunj, Kathmandu",105000000,3764.75,12,south,2.5,4.0,4.0,3.0
"Bhaisepati, Lalitpur",64000000,2395.75,26,east,2.5,4.0,4.0,6.0
"Sunakothi, Lalitpur",35000000,1369.0,20,north,2.5,3.0,4.0,1.0
"Kapan, Kathmandu",22000000,1026.75,16,south,2.5,6.0,5.0,3.0
"Dhobighat, Lalitpur",37500000,1026.75,16,south,2.5,4.0,4.0,3.0
"Hattiban, Lalitpur",80000000,2053.5,20,south,2.0,5.0,4.0,3.0
"Satdobato, Lalitpur",55000000,1437.45,13,east-south,3.5,6.0,7.0,4.0
"Bhaisepati, Lalitpur",55000000,1129.425,13,south-west,2.5,4.0,4.0,6.0
"Sanepa, Lalitpur",77500000,3080.25,20,south-west,2.5,5.0,5.0,3.0
"Budhanilkantha, Kathmandu",160000000,4107.0,13,north,2.5,7.0,7.0,7.0
"Imadol, Lalitpur",31900000,1403.225,13,south,2.5,5.0,3.0,3.0
"Sitapaila, Kathmandu",25000000,1026.75,13,west,2.5,4.0,3.0,7.0
"Pokhara, Kaski",120000000,3764.75,20,west,2.5,4.0,4.0,1.0
"Bhaisepati, Lalitpur",62500000,2190.4,13,north-west,2.5,5.0,6.0,3.0
"Budhanilkantha, Kathmandu",160000000,4107.0,12,north,2.5,7.0,7.0,3.0
"Hattiban, Lalitpur",28000000,752.95,12,north,2.5,4.0,4.0,3.0
"Imadol, Lalitpur",59900000,2395.75,20,east,2.5,,5.0,3.0
"Bhaisepati, Lalitpur",48000000,1711.25,25,south,2.5,6.0,4.0,3.0
"Imadol, Lalitpur",25000000,1060.9750000000001,13,north,3.0,5.0,3.0,5.0
"Bhaisepati, Lalitpur",40000000,1369.0,18,east-north,2.5,4.0,5.0,5.0
"Nakhipot, Lalitpur",60000000,2395.75,13,east,2.5,5.0,3.0,5.0
"Imadol, Lalitpur",25000000,1197.875,12,west,2.5,4.0,4.0,10.0
"Imadol, Lalitpur",27000000,1129.425,12,east,2.0,5.0,4.0,3.0
"Gwarko, Lalitpur",27500000,1026.75,12,north,2.5,5.0,4.0,7.0
"Budhanilkantha, Kathmandu",110000000,3764.75,16,east-south,2.5,5.0,5.0,4.0
"Hattiban, Lalitpur",32500000,1129.425,15,east-north,2.5,6.0,4.0,4.0
"Hattiban, Lalitpur",28000000,1060.9750000000001,13,south-west,2.0,5.0,4.0,3.0
"Imadol, Lalitpur",31000000,1095.2,12,west,3.0,6.0,4.0,3.0
"Baneshwor, Kathmandu",40000000,1711.25,13,south,2.5,4.0,4.0,4.0
"Tokha, Kathmandu",35000000,2053.5,15,north,2.5,3.0,3.0,6.0
"Imadol, Lalitpur",31500000,1779.7,20,east,2.0,6.0,5.0,3.0
"Ochu Height, Lalitpur",29000000,1095.2,13,south,2.5,6.0,6.0,4.0
"Imadol, Lalitpur",42500000,1437.45,20,east,3.0,5.0,4.0,3.0
"Bhaisepati, Lalitpur",46500000,1369.0,12,east-south,2.0,4.0,4.0,7.0
"Bhaisepati, Lalitpur",40000000,1369.0,20,north,2.5,5.0,4.0,1.0
"Sanepa, Lalitpur",59500000,1711.25,16,east-north,3.0,6.0,5.0,3.0
"Nakkhu, Lalitpur",39000000,1711.25,13,east,2.5,4.0,4.0,3.0
"Setipakha, Lalitpur",32000000,1369.0,13,east,3.0,8.0,3.0,3.0
"Setipakha, Lalitpur",32500000,1369.0,13,east,3.0,8.0,3.0,4.0
"Sunakothi, Lalitpur",51500000,2429.975,20,south,2.5,4.0,4.0,7.0
"Kalanki, Kathmandu",35000000,1369.0,10,south,3.5,8.0,6.0,6.0
"Imadol, Lalitpur",32500000,1471.675,20,east,2.5,4.0,4.0,3.0
"Bhangal , Kathmandu",32000000,1060.9750000000001,13,north,2.5,5.0,6.0,7.0
"Sukedhara, Kathmandu",55000000,1779.7,13,south,2.5,5.0,3.0,6.0
"Setipakha, Lalitpur",23000000,787.175,13,east,2.5,5.0,3.0,7.0
"Chandragiri, Kathmandu",17000000,1129.425,20,east,2.0,3.0,3.0,3.0
"Imadol, Lalitpur",24000000,787.175,13,south,3.5,5.0,4.0,4.0
"Tikathali, Lalitpur",27500000,1369.0,13,south,2.5,4.0,4.0,7.0
"Tikathali, Lalitpur",22500000,1095.2,13,south,2.5,4.0,3.0,7.0
"Lubhu, Lalitpur",18000000,1437.45,13,east,2.5,4.0,4.0,3.0
"Imadol, Lalitpur",25000000,1095.2,14,south,2.5,3.0,3.0,4.0
"Setipakha, Lalitpur",16500000,1060.9750000000001,13,east-north,1.0,1.0,1.0,7.0
"Bhaisepati, Lalitpur",51000000,2156.1749999999997,12,south,2.5,5.0,5.0,3.0
"Imadol, Lalitpur",59900000,2395.75,20,east,2.5,5.0,3.0,4.0
"Imadol, Lalitpur",32500000,1471.675,20,east,2.5,4.0,3.0,7.0
"Bhaisepati, Lalitpur",27500000,1095.2,13,north,2.5,5.0,5.0,4.0
"Sudal, Bhaktapur",12700000,1369.0,13,east,1.0,2.0,1.0,7.0
"Bhaisepati, Lalitpur",61000000,2053.5,18,south,3.5,6.0,4.0,11.0
"Hattiban, Lalitpur",36900000,1403.225,18,south,3.5,5.0,4.0,2.0
"Sunakothi, Lalitpur",23000000,787.175,20,east,2.0,3.0,2.0,11.0
"Budhanilkantha, Kathmandu",32000000,1369.0,14,south,2.0,5.0,5.0,2.0
"Nil Barahi Mandir, Bhaktapur",15500000,1095.2,20,south-west,2.5,6.0,3.0,3.0
"Dhapasi, Kathmandu",42500000,1437.45,13,west,2.5,7.0,6.0,1.0
"Katyani Chowk, Kathmandu",65000000,2395.75,24,east,2.5,9.0,4.0,7.0
"Gaurighat, Kathmandu",35000000,1369.0,15,north,2.0,6.0,5.0,5.0
"Budhanilkantha, Kathmandu",28000000,1095.2,16,south,3.0,6.0,6.0,5.0
"Lubhu, Lalitpur",13300000,1026.75,13,south,1.5,2.0,1.0,4.0
"Hattigaunda, Kathmandu",,5133.75,20,south-west,2.5,5.0,4.0,2.0
"Imadol, Lalitpur",16000000,752.95,13,south,2.0,4.0,2.0,6.0
"Harisiddhi, Lalitpur",25000000,1060.9750000000001,13,west,2.5,4.0,4.0,13.0
"Harisiddhi, Lalitpur",28000000,1026.75,20,west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",27000000,1095.2,14,south-west,2.5,5.0,3.0,5.0
"Bhaisepati, Lalitpur",39900000,1437.45,16,south,2.5,5.0,5.0,5.0
"Bhaisepati, Lalitpur",49900000,1711.25,16,south,3.5,4.0,4.0,5.0
"Lubhu, Lalitpur",17000000,1437.45,10,east,2.5,5.0,3.0,5.0
"Bhaisepati, Lalitpur",42500000,1129.425,20,south-west,2.5,4.0,4.0,5.0
"Sanagaun, Lalitpur",17000000,1026.75,13,west,2.0,4.0,2.0,4.0
"Balkot, Bhaktapur",52500000,1711.25,20,east-south,2.5,5.0,4.0,5.0
"Bageshwori, Bhaktapur",25000000,1711.25,13,south,2.5,7.0,3.0,7.0
"Bhangal , Kathmandu",32000000,1437.45,13,west,2.5,7.0,5.0,2.0
"Tikathali, Lalitpur",25000000,1095.2,18,south,3.0,6.0,3.0,5.0
"Imadol, Lalitpur",23500000,1095.2,13,west,2.5,4.0,3.0,5.0
"Samakhusi, Kathmandu",39000000,1026.75,13,west,2.5,3.0,4.0,5.0
"Budhanilkantha, Kathmandu",33000000,2053.5,12,north,2.5,5.0,5.0,5.0
"Chandol, Kathmandu",85000000,3182.925,20,east,2.5,6.0,6.0,11.0
"Hepali Height, Kathmandu",60300000,1711.25,16,north,3.5,4.0,4.0,1.0
"Imadol, Lalitpur",16500000,1060.9750000000001,16,south,2.5,4.0,2.0,5.0
"Imadol, Lalitpur",22500000,1060.9750000000001,20,north-west,2.5,4.0,4.0,5.0
"Hepali Height, Kathmandu",33000000,2121.9500000000003,13,south,2.5,6.0,5.0,5.0
"Mandikhatar, Kathmandu",75000000,3114.475,16,south-west,3.5,8.0,6.0,5.0
"Imadol, Lalitpur",27500000,1060.9750000000001,13,west,3.0,5.0,3.0,4.0
"Bojepokhari, Lalitpur",28500000,1095.2,12,east,2.5,6.0,5.0,4.0
"Hattigaunda, Kathmandu",31500000,1369.0,14,east,2.5,6.0,5.0,1.0
"Tikathali, Lalitpur",27500000,1369.0,13,north,2.5,7.0,4.0,8.0
"Imadol, Lalitpur",23500000,1026.75,13,east,3.5,6.0,4.0,7.0
"Thaiba, Lalitpur",29000000,1779.7,20,east-north,2.5,6.0,4.0,7.0
"Tikathali, Lalitpur",25500000,1026.75,13,north,3.0,6.0,5.0,7.0
"Imadol, Lalitpur",32500000,1369.0,20,north,2.5,3.0,4.0,5.0
"Imadol, Lalitpur",27000000,1129.425,13,east,3.5,5.0,4.0,5.0
"Imadol, Lalitpur",24500000,1060.9750000000001,13,west,2.5,4.0,4.0,8.0
"Imadol, Lalitpur",29500000,1437.45,13,north,2.5,5.0,5.0,8.0
"Itahari, Sunsari",,510.30182,24,south,4.0,,,8.0
"Lasuntar, Kathmandu",25000000,1369.0,12,east-north,2.5,5.0,3.0,1.0
"Khumaltar, Lalitpur",45000000,2053.5,13,south,2.5,6.0,3.0,7.0
"Imadol, Lalitpur",24000000,787.175,13,east,3.0,4.0,4.0,8.0
"Imadol, Lalitpur",23000000,752.95,13,north,3.0,4.0,4.0,8.0
"Imadol, Lalitpur",26500000,1369.0,13,south-west,3.0,4.0,5.0,7.0
"Tikathali, Lalitpur",32000000,1403.225,13,north-west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",29000000,1026.75,13,east,2.5,5.0,5.0,5.0
"Imadol, Lalitpur",27500000,1026.75,20,west,3.5,6.0,4.0,7.0
"Tikathali, Lalitpur",25500000,1095.2,13,east-north,3.0,6.0,6.0,8.0
"Imadol, Lalitpur",27500000,1060.9750000000001,13,west,2.5,5.0,5.0,8.0
"Imadol, Lalitpur",34000000,1095.2,26,west,3.0,5.0,4.0,5.0
"Nakkhu, Lalitpur",27500000,1095.2,20,east,2.5,4.0,4.0,5.0
"Imadol, Lalitpur",42500000,1403.225,20,east-north,2.5,5.0,3.0,8.0
"Sanagaun, Lalitpur",16000000,1779.7,13,east-north,2.5,4.0,3.0,11.0
"Samakhushi chowk, Kathmandu",35500000,1095.2,13,north,2.5,6.0,4.0,2.0
"Imadol, Lalitpur",27500000,1026.75,13,east-north,2.5,6.0,4.0,9.0
"Lubhu, Lalitpur",59000000,2429.975,20,east,2.5,6.0,5.0,7.0
"Taukhel, Lalitpur",27500000,1369.0,12,west,3.0,5.0,3.0,5.0
"Hattiban, Lalitpur",28000000,1060.9750000000001,13,south,2.5,6.0,4.0,11.0
"Hattiban, Lalitpur",32500000,1369.0,14,north-west,2.5,6.0,4.0,18.0
"Sundarbasti, Kathmandu",39000000,1437.45,13,east,2.5,6.0,5.0,10.0
"Narayanthan , Kathmandu",42500000,1369.0,20,west,2.5,4.0,6.0,15.0
"Katunje, Bhaktapur",34000000,1403.225,13,south-west,2.5,5.0,4.0,9.0
"Dhapasi, Kathmandu",47500000,2395.75,20,east,3.0,4.0,5.0,13.0
"Sundarbasti, Kathmandu",34500000,1129.425,13,east-north,2.5,4.0,4.0,9.0
"Nayapati, Kathmandu",29000000,2087.725,20,west,2.5,11.0,4.0,5.0
"Imadol, Lalitpur",26500000,992.525,13,south-west,3.5,5.0,4.0,5.0
"Nakhipot, Lalitpur",42500000,1437.45,16,east-south,3.5,7.0,5.0,22.0
"Khumaltar, Lalitpur",42000000,1437.45,12,south,3.0,6.0,5.0,11.0
"Jyotinagar, Kathmandu",29500000,1437.45,16,north,3.5,5.0,4.0,7.0
"Kuleshwor, Kathmandu",45000000,752.95,27,east,5.0,7.0,4.0,16.0
"Khumaltar, Lalitpur",39000000,1471.675,16,north,2.5,6.0,4.0,11.0
"Dhapasi, Kathmandu",46000000,2464.2000000000003,13,south,2.5,4.0,5.0,10.0
"Makalbari, Kathmandu",,2738.0,16,east,1.0,2.0,1.0,11.0
"Bhangal , Kathmandu",24000000,1095.2,13,east,2.5,6.0,5.0,11.0
"Mahadevtar, Kathmandu",60000000,3490.95,13,south-west,3.5,8.0,5.0,9.0
"Budhanilkantha, Kathmandu",38500000,1437.45,13,east,3.0,6.0,5.0,9.0
"Pasikot, Kathmandu",28000000,1369.0,13,west,2.5,5.0,4.0,5.0
"Imadol, Lalitpur",23000000,787.175,13,north,3.5,3.0,,17.0
"Satdobato, Lalitpur",26000000,1026.75,20,east,2.0,5.0,3.0,17.0
"Budhanilkantha, Kathmandu",25500000,1026.75,12,east,3.5,5.0,5.0,11.0
"Mandikhatar, Kathmandu",,1129.425,13,south,2.5,4.0,4.0,5.0
"Banasthali, Kathmandu",50000000,2738.0,20,east,2.5,5.0,3.0,7.0
"Hattigaunda, Kathmandu",33000000,1779.7,13,east,2.5,4.0,4.0,11.0
"Phutung, Kathmandu",16000000,752.95,13,west,2.5,4.0,4.0,11.0
"Gurjudhara, Kathmandu",32500000,1369.0,13,south,2.5,5.0,4.0,16.0
"Pasikot, Kathmandu",39000000,1779.7,20,east,2.5,5.0,6.0,22.0
"Balkumari, Lalitpur",55000000,3080.25,13,east,2.5,6.0,3.0,12.0
"Bhaisepati, Lalitpur",42500000,1437.45,16,north-west,2.5,5.0,4.0,2.0
"Imadol, Lalitpur",31000000,1369.0,13,south,2.5,4.0,3.0,2.0
"Sitapaila, Kathmandu",35000000,1711.25,13,south,2.5,5.0,3.0,5.0
"Balkhu, Kathmandu",37000000,1095.2,20,east,2.5,4.0,4.0,26.0
"Chandol, Kathmandu",72500000,2738.0,26,south,2.5,,,11.0
"Tikathali, Lalitpur",28500000,1026.75,13,east,2.5,6.0,4.0,11.0
"Imadol, Lalitpur",36500000,1369.0,13,east,3.0,7.0,4.0,9.0
"Grande Hospital, Kathmandu",33000000,1095.2,13,south,2.5,6.0,4.0,2.0
"Hattigaunda, Kathmandu",62500000,2053.5,20,south,2.0,5.0,7.0,26.0
"Hattigaunda, Kathmandu",75000000,2738.0,13,south,2.5,7.0,6.0,9.0
"Imadol, Lalitpur",35000000,1060.9750000000001,30,west,2.5,3.0,3.0,12.0
